letter	frequency
US	0.279
AL	0.22
AK	0.266
AZ	0.256
AR	0.189
CA	0.299
CO	0.359
CT	0.356
DE	0.287
DC	0.485
FL	0.253
GA	0.275
HI	0.296
ID	0.239
IL	0.306
IN	0.225
IA	0.251
KS	0.295
KY	0.21
LA	0.214
ME	0.269
MD	0.357
MA	0.382
MI	0.246
MN	0.315
MS	0.196
MO	0.252
MT	0.274
NE	0.274
NV	0.218
NH	0.32
NJ	0.345
NM	0.253
NY	0.324
NC	0.265
ND	0.258
OH	0.241
OK	0.227
OR	0.292
PA	0.264
RI	0.305
SC	0.243
SD	0.251
TN	0.23
TX	0.255
UT	0.285
VT	0.331
VA	0.34
WA	0.31
WV	0.173
WI	0.257
WY	0.238
