letter	frequency
US	0.103
AL	0.077
AK	0.09
AZ	0.093
AR	0.061
CA	0.107
CO	0.127
CT	0.155
DE	0.114
DC	0.28
FL	0.09
GA	0.099
HI	0.099
ID	0.075
IL	0.117
IN	0.081
IA	0.074
KS	0.102
KY	0.085
LA	0.069
ME	0.096
MD	0.16
MA	0.164
MI	0.094
MN	0.103
MS	0.071
MO	0.095
MT	0.083
NE	0.088
NV	0.076
NH	0.112
NJ	0.129
NM	0.104
NY	0.14
NC	0.088
ND	0.067
OH	0.088
OK	0.074
OR	0.104
PA	0.102
RI	0.117
SC	0.084
SD	0.073
TN	0.079
TX	0.085
UT	0.091
VT	0.133
VA	0.141
WA	0.111
WV	0.067
WI	0.084
WY	0.079
